filename,text,label,start,end
17_thủ_tục_về_đất_đai_thực_hiện_tại_cấp_xã.txt,ng,BODY_PART,215,217
bài_tuyên_truyền_về_đăng_ký_tham_gia_dân_quân_tự_vệ.txt,cơ,BODY_PART,211,213
bài_tuyên_truyền_về_đăng_ký_tham_gia_dân_quân_tự_vệ.txt, c,BODY_PART,326,328
bài_tuyên_truyền_về_đăng_ký_tham_gia_dân_quân_tự_vệ.txt,ượ,BODY_PART,1051,1053
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,thủy đậu,DISEASE,207,215
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,đau quặn bụng,SYMPTOM,415,429
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,bí trung đại tiện kéo dài.,SYMPTOM,431,457
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,các nốt thủy đậu bắt đầu bùng phát,SYMPTOM,489,524
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,các nốt thủy đậu bắt đầu bùng phát,SYMPTOM,490,524
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,ở vùng bụng,BODY_PART,524,536
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,nhanh chóng lan ra,SYMPTOM,540,558
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,toàn thân,BODY_PART,559,568
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,bụng chướng,SYMPTOM,596,607
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,bụng chướng,SYMPTOM,596,607
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,đau dữ dội,SYMPTOM,608,619
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,đau dữ dội,SYMPTOM,609,619
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,dịch tiêu hóa rò rỉ liên tục qua dẫn lưu,SYMPTOM,621,661
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,dịch tiêu hóa rò rỉ liên tục,SYMPTOM,621,649
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,nhiễm trùng,SYMPTOM,677,688
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,gây suy hô hấp,SYMPTOM,1407,1422
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,suy gan cấp trên nền hội chứng thận hư nặng.,SYMPTOM,1424,1468
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,nhiễm trùng huyết,SYMPTOM,3047,3064
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,suy đa tạng,SYMPTOM,3068,3079
cchc_-_cđs_-_trang_ttđt_phường_bạch_mai.txt,uân,BODY_PART,333,336
cchc_-_cđs_-_trang_ttđt_phường_bạch_mai.txt,ổi,BODY_PART,1176,1178
cchc_-_cđs_-_trang_ttđt_phường_bạch_mai.txt,ểu,BODY_PART,1586,1588
cchc_-_cđs_-_trang_ttđt_phường_bạch_mai.txt,n k,BODY_PART,1717,1720
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt,bệnh đái tháo đường,DISEASE,63,82
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt,đái tháo đường,DISEASE,67,82
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt,đái tháo đường,DISEASE,68,82
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt,h đái tháo đườ,DISEASE,68,82
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt,h đái tháo đườ,DISEASE,68,82
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt,h đái tháo đườ,DISEASE,68,82
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt,h đái tháo đườ,DISEASE,68,82
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt,Ể KIỂM SOÁT ĐƯỜNG HUY,TREATMENT,102,123
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt,Ể KIỂM SOÁT ĐƯỜNG HUY,TREATMENT,102,123
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt,Ể KIỂM SOÁT ĐƯỜNG HUY,TREATMENT,102,123
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt,KIỂM SOÁT ĐƯỜNG HUYẾT,TREATMENT,102,123
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt,Ể KIỂM SOÁT ĐƯỜNG HUY,TREATMENT,102,123
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt,Ể KIỂM SOÁT ĐƯỜNG HUY,TREATMENT,102,123
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt,ệnh đái tháo đ,DISEASE,333,347
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt,ệnh đái tháo đ,DISEASE,333,347
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt,ệnh đái tháo đ,DISEASE,333,347
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt,ệnh đái tháo đ,DISEASE,333,347
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt,ưỡng Bệnh vi,DISEASE,481,493
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt,gười bệnh cầ,DISEASE,530,542
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt, Người bệnh ,DISEASE,991,1003
dinh_dưỡng_ngày_tết_cho_người_bệnh_đái_tháo_đường-_ăn_uống_hợp_lý_để_kiểm_soát_đường_huyết.txt,. Người bện,DISEASE,1257,1268
