filename,text,label,start,end
kế_hoạch_tiêm_phòng_vắc_xin_bệnh_dại_cho_đàn_chó-_mèo_trên_địa_bàn_phường_bạch_mai_đợt_1_năm_2026.txt,bệnh Dại,DISEASE,27,36
kế_hoạch_tiêm_phòng_vắc_xin_bệnh_dại_cho_đàn_chó-_mèo_trên_địa_bàn_phường_bạch_mai_đợt_1_năm_2026.txt,bệnh Dại,DISEASE,27,36
kế_hoạch_tiêm_phòng_vắc_xin_bệnh_dại_cho_đàn_chó-_mèo_trên_địa_bàn_phường_bạch_mai_đợt_1_năm_2026.txt,bệnh Dại,DISEASE,28,36
kế_hoạch_tiêm_phòng_vắc_xin_bệnh_dại_cho_đàn_chó-_mèo_trên_địa_bàn_phường_bạch_mai_đợt_1_năm_2026.txt,bệnh Dại,DISEASE,28,37
kế_hoạch_tiêm_phòng_vắc_xin_bệnh_dại_cho_đàn_chó-_mèo_trên_địa_bàn_phường_bạch_mai_đợt_1_năm_2026.txt,bệnh Dại,DISEASE,28,36
kế_hoạch_tiêm_phòng_vắc_xin_bệnh_dại_cho_đàn_chó-_mèo_trên_địa_bàn_phường_bạch_mai_đợt_1_năm_2026.txt,bệnh Dại,DISEASE,28,37
kế_hoạch_tiêm_phòng_vắc_xin_bệnh_dại_cho_đàn_chó-_mèo_trên_địa_bàn_phường_bạch_mai_đợt_1_năm_2026.txt,bệnh Dại,DISEASE,181,191
kế_hoạch_tiêm_phòng_vắc_xin_bệnh_dại_cho_đàn_chó-_mèo_trên_địa_bàn_phường_bạch_mai_đợt_1_năm_2026.txt,bệnh Dại,DISEASE,181,191
kế_hoạch_tiêm_phòng_vắc_xin_bệnh_dại_cho_đàn_chó-_mèo_trên_địa_bàn_phường_bạch_mai_đợt_1_năm_2026.txt,bệnh Dại,DISEASE,182,191
kế_hoạch_tiêm_phòng_vắc_xin_bệnh_dại_cho_đàn_chó-_mèo_trên_địa_bàn_phường_bạch_mai_đợt_1_năm_2026.txt,bệnh Dại,DISEASE,182,190
kế_hoạch_tiêm_phòng_vắc_xin_bệnh_dại_cho_đàn_chó-_mèo_trên_địa_bàn_phường_bạch_mai_đợt_1_năm_2026.txt,bệnh Dại,DISEASE,182,191
kế_hoạch_tiêm_phòng_vắc_xin_bệnh_dại_cho_đàn_chó-_mèo_trên_địa_bàn_phường_bạch_mai_đợt_1_năm_2026.txt,bệnh Dại,DISEASE,182,190
